City,2008,2009,2010,2011,2012,Average
Thunder Bay,106.71,112.53,111.73,105.49,87.95,104.882
Brantford,104.34,105.87,99.59,91.62,92.23,98.73
London,84.31,87.56,82.61,78.8,74.49,81.554
Sudbury,73.45,81.14,84.7,79.46,71.66,78.082
St.Catharines-Niagara,80.07,75.92,69.95,61.09,63.85,70.176
Hamilton,77.08,73.76,70.82,63.94,60.06,69.132
Windsor,75.38,71.31,65.85,62.31,66.53,68.276
Kitchener-Cambridge-Waterloo,68.81,73.94,68.01,63.32,58.34,66.484
Peterborough,66.83,66.54,68.03,63.78,63.4,65.716
Ottawa-Gatineau-Quebec,70.19,68.75,62.8,59.88,59.24,64.172
Kingston,68.02,64.78,62.56,59.75,58.29,62.68
Ottawa-Gatineau-Ontario,68.48,67.01,60.66,58.28,57.04,62.294
Toronto,66.71,63.85,59.7,55.39,52.13,59.556
Barrie,63.7,64.42,60,53.81,51.32,58.65
Guelph,57.55,59.77,50.61,47.84,50.52,53.258
